body,statusLabel,cropped,instance,type,size,name
6716266,Roughly traced,,KC-s,KC-s,18996810,
113556,Roughly traced,,KC-s,KC-s,26334586,
2,Roughly traced,,MB-APL,MB-APL,1060865319,
75040,Roughly traced,,KC-s,KC-s,28280828,
352987,Roughly traced,,KC-s,KC-s,23431792,
93935,Roughly traced,,KC-s,KC-s,23833901,
10563,Roughly traced,,MBON-14-B,MBON-14,269867287,
286760,,,,,684,
124367,Traced,FALSE,PPL1-06-B,PPL1-06,411832456,
569674,Roughly traced,,KC-s,KC-s,20975838,
121758,Roughly traced,,KC-c,KC-c,17068067,
106934,Roughly traced,,KC-c,KC-c,19215276,
7300267,Roughly traced,,KC-c,KC-c,17397580,
654304,Roughly traced,,KC-s,KC-s,21634051,
51662,Roughly traced,,KC-s,KC-s,18699283,
104526,Roughly traced,,KC-s,KC-s,17536792,
301352,Roughly traced,,KC-any,KC-any,19683915,
106965,Orphan,,Others-orphan,,159238,
400645088,Orphan,,Others-orphan,,1463583,
1100888,Roughly traced,,KC-c,KC-c,15584440,
43752,Traced,FALSE,PPL1-06-A,PPL1-06,332694540,
107342,Roughly traced,,KC-c,KC-c,16051265,
840617,Roughly traced,,KC-c,KC-c,11641910,
1191623,Roughly traced,,KC-s,KC-s,24617854,
51643,Roughly traced,,KC-any,KC-any,17964528,
260949,Roughly traced,,KC-any,KC-any,21425124,
155279,Roughly traced,,KC-c,KC-c,14632661,
4297260,Roughly traced,,KC-c,KC-c,14592383,
54977,Traced,FALSE,MBON-14-A,MBON-14,384086534,
56125,,,,,1196,
1112226,Roughly traced,,KC-c,KC-c,14395961,
4286865,Roughly traced,,KC-any,KC-any,18690172,
2236953,Roughly traced,,KC-s,KC-s,20223221,
224409,Roughly traced,,KC-s,KC-s,20240792,
296611,,,,,2121,
120853,Roughly traced,,KC-any,KC-any,19895802,
723449,Roughly traced,,KC-c,KC-c,13892600,
7768211,Roughly traced,,KC-c,KC-c,20070483,
290115,Roughly traced,,KC-s,KC-s,24824050,
910572,Roughly traced,,KC-s,KC-s,26635469,
304102,Roughly traced,,KC-any,KC-any,24513509,
80775,Roughly traced,,KC-s,KC-s,28241561,
7364620,Roughly traced,,KC-c,KC-c,11796106,
293135,Roughly traced,,KC-c,KC-c,15761857,
6358979,Roughly traced,,KC-c,KC-c,13846754,
513414,Roughly traced,,MB-DPM,MB-DPM,784067657,
20132,Roughly traced,,KC-s,KC-s,20894787,
7652998,Roughly traced,,KC-s,KC-s,23699453,
2264721,Roughly traced,,KC-s,KC-s,31137585,
290535,Roughly traced,,KC-s,KC-s,20193831,
289947,,,,,3289,
289772,,,,,3268,
2611899,Roughly traced,,KC-s,KC-s,30657695,
4180620,Roughly traced,,KC-s,KC-s,22442650,
1858841,Roughly traced,,KC-s,KC-s,36942714,
954925,Roughly traced,,KC-s,KC-s,21342150,
17160224,,,,,142895108,
19129,Roughly traced,,KC-any,KC-any,15911987,
1047338,Roughly traced,,KC-s,KC-s,22445653,
113303,Roughly traced,,KC-s,KC-s,21256345,
10644035,Roughly traced,,KC-c,KC-c,13874810,
42472,Roughly traced,,KC-s,KC-s,28787640,
108155,Orphan,,Others-orphan,,45942,
772282,Roughly traced,,KC-c,KC-c,13729992,
7564799,Roughly traced,,KC-c,KC-c,15258972,
67453,,,,,1997,
4265027,Roughly traced,,KC-s,KC-s,30194098,
53277,Orphan,,Others-orphan,,167138,
14902,Roughly traced,,KC-s,KC-s,21799571,
18498,Roughly traced,,KC-c,KC-c,17142650,
136971,Roughly traced,,KC-c,KC-c,16315381,
158781,Roughly traced,,KC-c,KC-c,11503142,
56231,Roughly traced,,KC-c,KC-c,16878328,
113776,,,,,1239,
8500165,Roughly traced,,KC-c,KC-c,15479718,
4289142,Roughly traced,,KC-c,KC-c,15277140,
65620,Roughly traced,,KC-c,KC-c,17679500,
112222,Roughly traced,,KC-c,KC-c,17338916,
111892,Roughly traced,,KC-c,KC-c,19989225,
717446,Roughly traced,,KC-c,KC-c,14098302,
149390,Roughly traced,,KC-c,KC-c,17915686,
6406714,Roughly traced,,KC-c,KC-c,15282662,
200001836,,,,,30562,
303604,Roughly traced,,KC-c,KC-c,15157733,
113658,Roughly traced,,KC-any,KC-any,21671356,
1161384,Roughly traced,,KC-c,KC-c,18809119,
66473,Roughly traced,,KC-c,KC-c,16991351,
65823,,,,,396,
6385162,Roughly traced,,KC-c,KC-c,12613787,
312076,Roughly traced,,KC-c,KC-c,14501452,
1160145,Roughly traced,,KC-c,KC-c,16427497,
13163328,Roughly traced,,KC-c,KC-c,12057154,
116656,Roughly traced,,KC-c,KC-c,17372936,
1103187,Roughly traced,,KC-c,KC-c,16492894,
749441,Roughly traced,,KC-c,KC-c,18474773,
752139,Roughly traced,,KC-c,KC-c,17525005,
150878,Roughly traced,,KC-c,KC-c,15252865,
150387,Roughly traced,,KC-s,KC-s,23690875,
11815,Roughly traced,,KC-c,KC-c,16528408,
9099035,Roughly traced,,KC-c,KC-c,15060067,
7361769,Roughly traced,,KC-c,KC-c,19658419,
315654,Roughly traced,,KC-c,KC-c,15521179,
44776,Roughly traced,,KC-s,KC-s,20005505,
303074,Roughly traced,,KC-s,KC-s,24100580,
147489,Roughly traced,,KC-s,KC-s,20606380,
226014,Roughly traced,,KC-c,KC-c,16478685,
4178907,Roughly traced,,KC-c,KC-c,13852881,
303429,,,,,1994,
305961,Roughly traced,,KC-c,KC-c,14750819,
124103,Roughly traced,,KC-c,KC-c,14423077,
233419,Roughly traced,,KC-c,KC-c,15130532,
73447,Roughly traced,,KC-c,KC-c,16387274,
64872,Roughly traced,,KC-any,KC-any,19381355,
298939,,,,,58066,
134024,Roughly traced,,KC-c,KC-c,15564183,
306445,,,,,2671,
133163,Roughly traced,,KC-c,KC-c,12563834,
308110,Roughly traced,,KC-c,KC-c,15369615,
815621,Roughly traced,,KC-any,KC-any,24794630,
85398,Roughly traced,,KC-c,KC-c,15933684,
6389013,Roughly traced,,KC-c,KC-c,18498624,
2394725,Roughly traced,,KC-c,KC-c,18435983,
576371,Roughly traced,,KC-c,KC-c,18342757,
305119,Roughly traced,,KC-c,KC-c,18084126,
307105,Roughly traced,,KC-c,KC-c,16441769,
7153258,Roughly traced,,KC-s,KC-s,24685914,
238420,Roughly traced,,KC-c,KC-c,19024740,
1394329,Roughly traced,,KC-s,KC-s,21082971,
8483456,Roughly traced,,KC-c,KC-c,16008729,
4664777,Roughly traced,,KC-c,KC-c,16810992,
230493,,,,,1660,
230200,Roughly traced,,KC-c,KC-c,16639862,
227815,,,,,32631,
253722,Roughly traced,,KC-c,KC-c,16751699,
2341636,Roughly traced,,KC-c,KC-c,17237960,
232648,Roughly traced,,KC-c,KC-c,13664056,
9060176,Roughly traced,,KC-c,KC-c,20985593,
250105,Roughly traced,,KC-c,KC-c,15771628,
724834,Roughly traced,,KC-s,KC-s,23369155,
257171,Roughly traced,,KC-s,KC-s,20949208,
397240,Orphan,,Others-orphan,,18615,
328604,Roughly traced,,KC-s,KC-s,21021237,
397288,Orphan,,Others-orphan,,19207,
20786761,,,,,19961,
20787582,,,,,54461,
20791874,,,,,17738,
21381867,0.5assign,,,,3464314,
20786661,,,,,33764,
20792100,,,,,155453,
20786517,,,,,127937,
21462719,,,,,26561,
6967,Roughly traced,,KC-s,KC-s,25785391,
71054,Roughly traced,,KC-s,KC-s,23510210,
4367389,Roughly traced,,KC-s,KC-s,23329158,
33556,Roughly traced,,KC-s,KC-s,22457829,
72058,Roughly traced,,KC-s,KC-s,22166048,
120363,Roughly traced,,KC-any,KC-any,21281595,
855351,Roughly traced,,KC-any,KC-any,18135279,
110773,,,,,345790,
131684,Roughly traced,,KC-c,KC-c,13981470,
61756,Orphan,,Others-orphan,,127017,
75171,Roughly traced,,KC-c,KC-c,15354229,
4696618,Roughly traced,,KC-any,KC-any,21240509,
4284728,Roughly traced,,KC-any,KC-any,17531840,
239509,Roughly traced,,KC-c,KC-c,21948054,
6382844,Roughly traced,,KC-c,KC-c,13288585,
1190582,Traced,FALSE,MBON-06,MBON-06,379789577,
1192320,Roughly traced,,KC-c,KC-c,26131115,
1103409,Roughly traced,,KC-c,KC-c,18354945,
158501,Roughly traced,,KC-c,KC-c,12651095,
3942197,Roughly traced,,KC-s,KC-s,21347570,
67519,Roughly traced,,KC-c,KC-c,16337193,
78187,,,,,4169,
33862,Roughly traced,,KC-c,KC-c,13086538,
1167339,Roughly traced,,KC-c,KC-c,21017429,
60157,Roughly traced,,KC-c,KC-c,15846162,
7295416,Roughly traced,,KC-any,KC-any,18765715,
166865,Roughly traced,,KC-c,KC-c,14648219,
400640416,,,,,6284,
174190,Roughly traced,,KC-any,KC-any,16291151,
125263,Roughly traced,,KC-c,KC-c,15406925,
159874,Orphan,,Others-orphan,,25490,
156445,,,,,5015,
235879,,,,,2041,
86186,Roughly traced,,KC-c,KC-c,16444501,
41891,Roughly traced,,KC-c,KC-c,18868517,
311618,Roughly traced,,KC-c,KC-c,15505774,
299284,Roughly traced,,KC-c,KC-c,12774927,
130302,Roughly traced,,KC-c,KC-c,15629534,
309105,,,,,18053,
11501317,Roughly traced,,KC-s,KC-s,19808408,
7484310,Roughly traced,,KC-c,KC-c,19067448,
246749,Roughly traced,,KC-c,KC-c,15620108,
259914,Roughly traced,,KC-c,KC-c,15414511,
319573,Roughly traced,,KC-c,KC-c,19014495,
8034820,Roughly traced,,KC-c,KC-c,15713652,
2751809,Roughly traced,,KC-c,KC-c,15686109,
1472351,Roughly traced,,KC-c,KC-c,18583899,
243140,Roughly traced,,KC-c,KC-c,16996756,
7511136,Roughly traced,,KC-c,KC-c,15768760,
226590,Roughly traced,,KC-c,KC-c,14604321,
7336234,Roughly traced,,KC-c,KC-c,14180667,
360219,,,,,2441,
945198,Roughly traced,,KC-s,KC-s,25440963,
200003602,,,,,17917238,
2756669,Roughly traced,,KC-c,KC-c,16223867,
20799468,,,,,7547,
20799674,,,,,27560,
1344461,0.5assign,,,,9747026,
21476363,,,,,1088,
20799024,,,,,5081,
20800956,,,,,5989,
20787712,Roughly traced,,Irrelevant,,431827,
21478307,,,,,2583,
21465661,,,,,19325,
367851456,Roughly traced,,Others,,8350571,
21475398,,,,,12908,
21462463,,,,,79166,
21478638,,,,,21055,
21476376,,,,,16650,
7476846,Roughly traced,,KC-c,KC-c,14889803,
416753,Roughly traced,,KC-s,KC-s,20544087,
7497238,Roughly traced,,KC-c,KC-c,19084309,
2242865,Roughly traced,,KC-s,KC-s,24271671,
10521,Roughly traced,,KC-any,KC-any,20744794,
3224801,Roughly traced,,KC-s,KC-s,41250800,
8116,Roughly traced,,KC-s,KC-s,25298776,
127446,,,,,4323,
4698865,Roughly traced,,KC-c,KC-c,18063767,
78845,,,,,645,
464785,Roughly traced,,KC-any,KC-any,20419920,
129720,,,,,4344,
